,,,,,,,,,,,,,,,
no,group name,sun on,sun off,mon on,mon off,tue on,tue off,wed on,wed off,thu on,thu off,fri on,fri off,sat on,sat off
num:1,,,,,,,,,,,,,,,
num:2,,,,,,,,,,,,,,,
num:3,,,,,,,,,,,,,,,
num:4,,,,,,,,,,,,,,,
num:5,,,,,,,,,,,,,,,
num:6,,,,,,,,,,,,,,,
num:7,,,,,,,,,,,,,,,
num:8,,,,,,,,,,,,,,,
num:9,,,,,,,,,,,,,,,
num:10,,,,,,,,,,,,,,,
num:11,,,,,,,,,,,,,,,
num:12,,,,,,,,,,,,,,,
num:13,,,,,,,,,,,,,,,
num:14,,,,,,,,,,,,,,,
num:15,,,,,,,,,,,,,,,
num:16,,,,,,,,,,,,,,,
num:17,,,,,,,,,,,,,,,
num:18,,,,,,,,,,,,,,,
num:19,,,,,,,,,,,,,,,
num:20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
client number,client name,ip address,type,info,state 0,state 1,state 2,state 3,,,,,,,
dev:1,pc1,192.168.2.201,PC,num1:1,ibm pc 1,check,,,,,,,,,
dev:2,prj1,192.168.2.202,PRJ,num1:2,VPL-PHZ10,check,,,,,,,,,
dev:3,pc2,192.168.2.203,PC,num1:1,ibm pc 2,check,,,,,,,,,
dev:4,prj2,192.168.2.204,PRJ,num1:2,vpl-phz10,check,,,,,,,,,
dev:5,pc3,192.168.2.205,PC,num1:1,ibm pc 3,check,,,,,,,,,
dev:6,prj3,192.168.2.206,PRJ,num1:2,vpl-PHz10,check,,,,,,,,,
dev:7,pc4,192.168.2.207,PC,num1:1,ibm pc 4,check,,,,,,,,,
dev:8,prj4,192.168.2.208,PRJ,num1:2,vpl-phz10,check,,,,,,,,,
dev:9,pc5,192.168.2.209,PC,num1:1,ibm pc 5,check,,,,,,,,,
dev:10,prj10,192.168.2.210,PRJ,num1:2,vpl-phz10,check,,,,,,,,,
dev:11,relay 1,192.168.2.211,RELAY,num1:3,,check,,,,,,,,,
dev:12,contact1,192.168.2.212,CONTACT,num1:4,,check,,,,,,,,,
dev:13,relay2,192.168.2.213,RELAY,num1:3,,check,,,,,,,,,
dev:14,contact 2,192.168.2.214,CONTACT,num1:4,,check,,,,,,,,,
dev:15,relay3,192.168.2.215,RELAY,num1:3,,check,,,,,,,,,
dev:16,contact3,192.168.2.216,CONTACT,num1:4,,check,,,,,,,,,
dev:17,relay4,,RELAY,num1:3,,check,,,,,,,,,
dev:18,contact4,,CONTACT,num1:4,,check,,,,,,,,,
dev:19,relay5,,RELAY,num1:3,,check,,,,,,,,,
dev:20,contact5,,CONTACT,num1:4,,check,,,,,,,,,
dev:21,pc6,,PC,num1:5,,check,,,,,,,,,
dev:22,prj6,,PRJ,num1:6,,check,,,,,,,,,
dev:23,pc7,192.168.2.223,PC,num1:5,,check,,,,,,,,,
dev:24,prj7,192.168.2.224,PRJ,num1:6,,check,,,,,,,,,
dev:25,pc8,192.168.2.225,PC,num1:5,,check,,,,,,,,,
dev:26,prj8,192.168.2.226,PRJ,num1:6,,check,,,,,,,,,
dev:27,pc9,192.168.2.227,PC,num1:5,,check,,,,,,,,,
dev:28,prj9,,PRJ,num1:6,,check,,,,,,,,,
dev:29,pc10,192.168.2.229,PC,num1:5,,check,,,,,,,,,
dev:30,prj10,192.168.2.230,PRJ,num1:6,,check,,,,,,,,,
dev:31,,,,,,,,,,,,,,,
dev:32,,,,,,,,,,,,,,,
dev:33,,,,,,,,,,,,,,,
dev:34,,,,,,,,,,,,,,,
dev:35,,,,,,,,,,,,,,,
dev:36,,,,,,,,,,,,,,,
dev:37,,,,,,,,,,,,,,,
dev:38,,,,,,,,,,,,,,,
dev:39,,,,,,,,,,,,,,,
dev:40,,,,,,,,,,,,,,,
dev:41,,,,,,,,,,,,,,,
dev:42,,,,,,,,,,,,,,,
dev:43,,,,,,,,,,,,,,,
dev:44,,,,,,,,,,,,,,,
dev:45,,,,,,,,,,,,,,,
dev:46,,,,,,,,,,,,,,,
dev:47,,,,,,,,,,,,,,,
dev:48,,,,,,,,,,,,,,,
dev:49,,,,,,,,,,,,,,,
dev:50,,,,,,,,,,,,,,,
dev:51,,,,,,,,,,,,,,,
dev:52,,,,,,,,,,,,,,,
dev:53,,,,,,,,,,,,,,,
dev:54,,,,,,,,,,,,,,,
dev:55,,,,,,,,,,,,,,,
dev:56,,,,,,,,,,,,,,,
dev:57,,,,,,,,,,,,,,,
dev:58,,,,,,,,,,,,,,,
dev:59,,,,,,,,,,,,,,,
dev:60,,,,,,,,,,,,,,,
dev:61,,,,,,,,,,,,,,,
dev:62,,,,,,,,,,,,,,,
dev:63,,,,,,,,,,,,,,,
dev:64,,,,,,,,,,,,,,,
dev:65,,,,,,,,,,,,,,,
dev:66,,,,,,,,,,,,,,,
dev:67,,,,,,,,,,,,,,,
dev:68,,,,,,,,,,,,,,,
dev:69,,,,,,,,,,,,,,,
dev:70,,,,,,,,,,,,,,,
dev:71,,,,,,,,,,,,,,,
dev:72,,,,,,,,,,,,,,,
dev:73,,,,,,,,,,,,,,,
dev:74,,,,,,,,,,,,,,,
dev:75,,,,,,,,,,,,,,,
dev:76,,,,,,,,,,,,,,,
dev:77,,,,,,,,,,,,,,,
dev:78,,,,,,,,,,,,,,,
dev:79,,,,,,,,,,,,,,,
dev:80,,,,,,,,,,,,,,,
dev:81,,,,,,,,,,,,,,,
dev:82,,,,,,,,,,,,,,,
dev:83,,,,,,,,,,,,,,,
dev:84,,,,,,,,,,,,,,,
dev:85,,,,,,,,,,,,,,,
dev:86,,,,,,,,,,,,,,,
